mile,231
meaning,231
serious,230
they've,230
pleasure,230
trick,230
asleep,229
headed,228
bells,228
adore,228
x,228
tie,228
jungle,228
wo,228
drug,227
threw,227
hits,227
noise,227
boyfriend,226
gentle,226
heads,226
gucci,226
date,225
drove,225
ayy,225
shots,224
blowin',224
judge,224
holds,224
hardly,224
decide,224
lonesome,224
mic,222
emotions,222
ticket,222
crack,222
billy,222
voices,221
hips,221
spoken,221
shoo,221
chicken,220
fears,220
tied,220
drum,220
louder,220
forth,220
rainbow,219
wrist,219
r,219
teacher,219
love.,218
sold,218
certain,218
shinin',218
keys,218
pillow,218
food,218
cant,218
begins,217
arm,217
fortune,217
shows,217
bein',217
resist,217
glow,217
picked,216
stage,216
confused,216
they'd,216
mystery,214
havin',214
wise,214
swim,214
‘cause,214
lotta,214
hung,213
windows,213
impossible,213
pants,213
complete,213
crew,212
secrets,212
reality,212
matters,212
lane,212
sees,212
difference,211
wrapped,211
grew,211
honest,211
daddy's,211
10,211
ron,211
es,210
6,210
beneath,210
laughter,210
blowing,210
lyin',210
sip,208
bomb,208
gray,207
woh,207
re,207
mountains,207
north,207
soldier,207
bones,206
worst,206
destiny,206
situation,206
staring,206
f,206
flyin',206
youth,206
"me""",205
thick,205
police,205
gon,205
either,205
yay,205
wipe,204
fifty,204
enjoy,204
chances,204
rising,204
hiding,204
shimmy,204
naked,203
dollars,203
shore,203
clown,203
don,203
sweetest,203
desert,203
forward,202
lightning,202
kitchen,202
do.,202
shop,202
hotel,202
instrumental,202
sings,202
whiskey,201
closed,201
losin',201
screaming,201
thug,200
faded,200
distance,200
blessed,200
shelter,199
company,199
history,199
lesson,199
wasting,199
island,199
dogs,199
coo,199
grace,198
'till,198
cries,198
now.,198
smokin',197
eyed,197
plane,197
disguise,197
tide,197
pity,197
dreamer,197
oom,197
conversation,196
dough,196
feed,196
opened,196
daylight,196
raised,196
jive,196
drinkin',195
relax,195
burned,195
building,195
minutes,195
yi,195
sometime,195
bills,194
steel,194
lick,194
pie,193
cherry,193
willing,192
champagne,192
weren't,192
pink,192
horse,192
advice,192
cost,192
rub,192
watched,191
j,191
james,191
named,191
homie,191
runaway,191
breathing,190
listening,190
wont,190
vision,190
tip,190
dooby,190
baby.,189
lit,189
thanks,189
tenderness,189
tick,189
hooked,189
witness,189
ecstasy,189
believing,188
smiled,188
southern,188
oughta,188
freaky,188
nature,188
knocking,188
groovy,188
bleed,187
float,187
flames,187
cadillac,187
rocks,187
o'clock,186
thin,186
note,186
shaky,186
shared,185
mo,185
weight,184
i’ll,184
ya'll,184
away.,184
fi,184
chicks,184
v,184
shakin',184
buck,184
yeah.,184
heartaches,184
cards,183
hollywood,183
amazing,183
fallen,183
moments,183
endless,183
putting,183
battle,183
truly,182
shook,182
awhile,182
heels,182
limit,182
9,182
hah,182
search,182
broadway,182
someone's,182
crash,182
names,181
plus,181
strangers,181
cake,181
hug,181
cowboy,181
grind,181
vain,181
bread,181
smiles,180
blew,180
searchin',180
course,180
sat,180
plenty,180
holiday,180
hearted,180
grand,180
drinks,180
wee,179
haters,179
steppin',179
planned,179
shade,179
sally,179
torn,178
field,178
ain’t,178
lee,178
ears,178
dancer,178
sixteen,178
dropped,178
nothin,178
reaching,177
records,177
believed,177
drown,177
string,177
rip,177
girl's,177
whose,177
neon,177
rescue,177
kissin',177
signs,176
notice,176
barely,176
knife,176
minds,176
drank,176
pure,175
ourselves,175
excuse,175
con,174
drinking,174
talks,174
pressure,174
brighter,174
tease,174
burns,174
hook,174
holla,174
raining,174
bringing,173
suit,173
le,173
often,173
heartbreak,173
understanding,173
yeah...,173
ours,173
can’t,173
gypsy,173
shoulda,172
page,172
flower,172
realized,171
strike,171
toast,171
goin,171
valley,171
wa,171
afternoon,170
upside,170
bobby,170
wishin',170
touching,170
toe,170
fish,170
beggin',170
praying,169
bitter,169
could've,169
trippin',169
spark,169
heal,169
/,169
hall,169
direction,168
pimp,168
waves,168
bags,168
ill,168
dong,168
whether,168
whistle,168
du,168
ee,168
smart,167
foreign,167
hopes,167
bars,167
questions,167
sleepin',167
ashamed,167
puttin',167
stands,166
talked,166
sunset,166
brave,166
yah,166
trunk,166
bam,166
purple,166
cheat,166
jones,166
birthday,166
foolin',166
person,165
shaking,165
quiero,165
amor,165
energy,165
teardrops,165
release,165
missin',165
weed,165
on.,165
crawl,164
private,164
fading,164
teeth,164
lazy,164
careful,164
ev'ry,164
down.,163
hills,163
match,163
killed,163
beep,163
cute,163
drives,163
wiggle,162
pretending,162
embrace,162
cure,162
painted,161
travel,161
innocent,161
nation,161
rocket,160
sir,160
guilty,160
mack,160
cotton,160
murder,160
spinnin',160
knockin',160
charms,160
ordinary,160
"""i'm",159
1],159
choo,159
ugly,159
flowing,158
jet,158
slam,158
me...,158
third,157
si,157
ending,157
cheap,157
garden,157
focus,157
mix,157
fields,157
answers,157
getcha,157
row,157
electric,156
thirty,156
stops,156
learning,156
alley,156
gee,156
candle,155
pouring,155
packed,155
sippin',155
leads,155
stack,155
"""you",155
simply,155
imagination,155
laughed,154
sadness,154
list,154
hustle,154
size,154
attack,154
express,154
li,154
square,154
hurtin',154
jumpin',154
wop,154
counting,153
force,153
al,153
motherfucker,153
pound,153
famous,153
remain,153
whine,153
further,153
completely,152
able,152
saving,152
spit,152
worked,152
tock,152
santa,152
go.,152
butt,152
why'd,152
god's,152
annie,152
quarter,151
poison,151
flight,151
lover's,151
chair,151
main,151
mend,151
forty,151
sam,151
winds,151
waits,151
addicted,150
trade,150
tennessee,150
bottles,150
crib,150
restless,150
keepin',150
season,150
silent,150
melt,149
hunger,149
mister,149
cats,149
crown,149
london,149
circles,149
dyin',149
darkest,148
roads,148
mark,148
cruise,148
happening,148
attitude,148
sa,148
seasons,147
shape,147
ignore,147
bunch,147
cared,147
blown,147
gettin,147
memphis,147
shock,147
preacher,147
bodies,146
groovin',146
louie,146
spending,145
benz,145
aren't,145
kickin',145
cherish,145
steps,144
finding,144
bedroom,144
yard,144
pushin',144
way.,144
bullet,144
where's,144
sensation,144
joke,144
shack,144
scars,143
works,143
ti,143
h,143
bee,143
tearing,143
player,143
sooner,143
actin',143
cops,143
e:,143
order,142
path,142
k,142
pockets,142
stayin',142
bon,142
stays,142
ringing,141
rivers,141
bands,141
wood,141
sheets,141
calm,141
juice,141
easily,141
perfume,141
roller,141
shady,141
lookin,141
jail,141
mama's,141
mexico,141
divine,140
ooooh,140
teenage,140
pushing,140
harmony,140
station,140
punk,140
split,140
music's,140
shades,140
buddy,140
pon,140
doop,140
vibe,139
strip,139
draw,139
flies,139
expect,139
orleans,139
cast,139
porch,139
became,139
molly,139
owe,139
wire,139
homies,139
cop,139
fooling,139
treasure,139
physical,138
freeze,138
coat,138
final,138
2],138
rolled,138
cheek,138
victim,138
loser,138
stomp,138
everlasting,138
penny,137
boyz,137
"""hey",137
body's,137
angry,137
chose,137
liar,137
uncle,137
circle,137
sisters,137
pool,136
roam,136
rent,136
recall,136
easier,136
zero,136
slave,136
wonderin',136
untrue,136
shower,136
shoe,136
throwing,135
veins,135
twisted,135
surprised,135
claim,135
letters,135
8,135
refuse,135
younger,135
covered,135
parking,135
showin',134
animal,134
pair,134
staying,134
winner,134
coupe,134
swallow,134
sets,134
dis,134
shooting,133
ceiling,133
para,133
screamin',133
aside,133
amen,133
who'll,133
imma,133
undone,133
nearly,133
ex,132
wore,132
wreck,132
aww,132
twistin',132
generation,132
stroke,132
tom,132
depend,132
flash,132
robin,132
slippin',132
horses,132
drugs,131
hopin',131
lip,131
crush,131
tryin,131
hee,131
system,130
trap,130
flex,130
mention,130
drift,130
erase,130
naughty,130
rubber,130
rolls,130
add,129
sweetheart,129
spanish,129
sigh,129
excited,129
except,129
